Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,25.6081918081918,29.7593406593407,33.5465534465534,34.1917082917083,34.8238761238761,35.4425574425574,36.0469530469531,36.6344655344655,37.2015984015984,37.7463536463536,38.2671328671329,..
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,718.759420289855,939.232394366197,1271.36216216216,1368.75733333333,1468.12763157895,1574.70263157895,1655.27427821522,1702.75619295958,1731.91818181818,1752.5025974026,1768.74025974026,..
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,814.190182069601,1008.53298763156,1112.69292463701,1126.16337865868,1138.91428900668,1151.61585618806,1164.75975263117,1178.50205116386,1192.72787124529,1207.32422217101,1222.07507874318,..
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,605.520930232558,627.53023255814,639.627906976744,642.218604651163,644.918604651163,647.595348837209,650.153488372093,652.562790697674,654.837209302326,656.983720930233,659.023255813953,..
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,50.2317097219483,49.324590810491,47.333661902415,47.1168063085264,46.9590931493346,46.8740755349571,46.7718087727945,46.6857227342171,46.641368094229,46.651224680893,46.6709378542211,..
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,..,338.548546895641,348.347357992074,350.914795244386,353.697919418758,356.555250990753,360.643064729194,364.85284015852,367.51142668428,369.313639365918,370.71357331572,..
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,8.2223586146427,10.8422621657168,12.7466462078036,13.0821131082858,13.4224024550636,13.7626041209996,14.0994739149496,14.4319596668128,14.7613765892153,15.0895659798334,15.418939061815,..
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,44.3532369634622,61.6297091167081,74.8822011351543,77.222747428166,79.5807467186946,81.9526605179142,84.3366264632849,86.7274831500532,89.1255054984037,91.5416105001774,93.9915040794608,..
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1186.52,1236.66,1290.46,1297.76,1305.46,1312.72,1302.48,1291.28,1295.96,1300.02,1303.62,..
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,11.4612717505297,14.1755527638191,17.4966550358108,17.8784007135924,18.2330718577013,18.5699294278144,18.89566335231,19.2104835112942,19.5112679381903,19.7979116929454,20.0699950153475,..
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,6.32903720114465,7.69824794609065,8.56950521554509,8.715482322533,8.86173359180282,9.00839933536417,9.15558478722422,9.30327517769778,9.4514557370996,9.60023169943691,9.74973414566602,..
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,88.7646274509804,74.0796484375,74.97078125,75.0081640625,74.99509765625,74.955703125,74.9073828125,74.8498046875,74.77380859375,74.67837890625,74.5616015625,..
Population density (people per sq. km of land area),EN.POP.DNST,Botswana,BWA,2.43469376951988,3.06420870608579,3.34492791982073,3.40626224127892,3.4723166234362,3.54174298166675,3.61341555943747,3.68730436010093,3.76338291602703,3.84047077091384,3.91709808903711,..
Population density (people per sq. km of land area),EN.POP.DNST,Brazil,BRA,17.9936137705279,21.0317655602802,22.8158706362899,23.065481195577,23.3029951639958,23.5340994527491,23.7629673587664,23.9906945803731,24.2161035828546,24.4383770791109,24.6559519223176,..
Population density (people per sq. km of land area),EN.POP.DNST,Brunei Darussalam,BRN,48.7550284629981,62.7237191650854,69.8576850094877,71.0548387096774,72.2554079696395,73.449715370019,74.6303605313093,75.7956356736243,76.9472485768501,78.0833017077799,79.2018975332068,..
Population density (people per sq. km of land area),EN.POP.DNST,Bulgaria,BGR,78.8058302449607,73.8513242339329,70.8737917702292,69.4718534204954,68.98592210662,68.5744565217391,68.1245302137067,67.6890935887988,67.2981577008106,66.922577376566,66.5649502579219,..
Population density (people per sq. km of land area),EN.POP.DNST,Burkina Faso,BFA,32.2040679824561,42.4266959064327,50.5635782163743,52.1345102339181,53.7610051169591,55.4307602339181,57.1347441520468,58.8700694444444,60.6389364035088,62.4435453216374,64.2880043859649,..
Population density (people per sq. km of land area),EN.POP.DNST,Burundi,BDI,218.580257009346,263.515303738318,320.018302180685,331.564563862928,343.527842679128,355.832788161994,368.423559190031,381.236409657321,394.259034267913,407.552920560748,421.217289719626,..
Population density (people per sq. km of land area),EN.POP.DNST,Cabo Verde,CPV,84.6789081885856,108.867741935484,118.67617866005,119.42382133995,120.055583126551,120.76253101737,121.682133995037,122.8682382134,124.285359801489,125.87047146402,127.520099255583,..
Population density (people per sq. km of land area),EN.POP.DNST,Cambodia,KHM,51.0358939496941,69.1021130750057,76.6222524359846,77.7741898934965,78.9353047813279,80.1288069340585,81.3708701563562,82.6710797643327,84.025917743032,85.4212780421482,86.8351234987537,..
Population density (people per sq. km of land area),EN.POP.DNST,Cameroon,CMR,25.5343847179032,33.6944701825644,39.3414757462292,40.3589938863151,41.4004738634681,42.4668866747054,43.5587696473525,44.6765776057202,45.8198218781071,46.9868756743035,48.1754437181359,..
Population density (people per sq. km of land area),EN.POP.DNST,Canada,CAN,3.05613563959351,3.38369892373792,3.58173081681331,3.61663736005129,3.65598905153236,3.69808478794217,3.73951026611287,3.77662530749952,3.82188087988027,3.86630728948448,3.90832791738284,..
Population density (people per sq. km of land area),EN.POP.DNST,Cayman Islands,CYM,104.204166666667,173.6875,208.45,214.5,220.520833333333,226.1875,231.2875,235.75,239.675,243.204166666667,246.55,..
Population density (people per sq. km of land area),EN.POP.DNST,Central African Republic,CAF,4.71577257696876,5.98100741596841,6.62479052297024,6.74516677902982,6.8708546020739,7.00101447879547,7.13501717551125,7.27295097755947,7.41516581591704,7.56152364441876,7.71183023532056,..
Population density (people per sq. km of land area),EN.POP.DNST,Chad,TCD,4.73159307496823,6.62589024777637,8.27796696315121,8.56059720457433,8.84668043202033,9.14114914231258,9.44756988564168,9.7669250317662,10.0980503494282,10.439793519695,10.7902263341804,..
Population density (people per sq. km of land area),EN.POP.DNST,Channel Islands,CHI,725.09793814433,766.623711340206,801.10824742268,806.783505154639,812.30412371134,817.592783505155,839.91052631579,844.678947368421,849.136842105263,853.357894736842,857.457894736842,..
Population density (people per sq. km of land area),EN.POP.DNST,Chile,CHL,17.6740234448551,20.4031393403377,21.8951275802521,22.1412138280531,22.3876578277734,22.6351481846107,22.8840829984453,23.1345860030234,23.3862658231253,23.6383007052824,23.8895528369996,..
Population density (people per sq. km of land area),EN.POP.DNST,China,CHN,120.915506084734,134.492481002789,139.645342881819,140.376588050196,141.097705219827,141.801244134798,142.487743405,143.172112343875,143.87139360204,144.583456848168,145.317355990401,..
Population density (people per sq. km of land area),EN.POP.DNST,Colombia,COL,30.8891960342497,36.4163668319063,39.5094583145561,39.9951753041911,40.4701757548445,40.9340027039207,41.3863010365029,41.8264497521406,42.2541847679135,42.6699981973862,43.074712032447,..
Population density (people per sq. km of land area),EN.POP.DNST,Comoros,COM,223.075765717356,294.301988178399,340.577109081139,348.954325631381,357.557227297152,366.386351423966,375.440623320795,384.724341751746,394.229446534121,403.921010209565,413.751209027405,..
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Dem. Rep.",ZAR,15.4221018504224,21.1943556604398,25.5516375907016,26.3932754019541,27.2641882622792,28.1621918352043,29.0856893319512,30.0334690456761,31.0055622946119,32.0032028406961,33.0283981385501,..
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Rep.",COG,6.98819033674963,9.10474084919473,10.5551830161054,10.8804245973646,11.2233411420205,11.5689194729136,11.9065241581259,12.2326061493411,12.5510629575403,12.8677423133236,13.1916896046852,..
Population density (people per sq. km of land area),EN.POP.DNST,Costa Rica,CRI,60.6344300822562,76.8791617704661,84.3867998433216,85.5751077164121,86.7509988249119,87.9017038777908,89.0182726204465,90.0996278887583,91.1505679592636,92.1745593419506,93.1767724245985,..
Population density (people per sq. km of land area),EN.POP.DNST,Cote d'Ivoire,CIV,38.2575754716981,51.9432327044025,58.1333081761006,59.3150062893082,60.5712169811321,61.9022295597484,63.3072547169811,64.7929937106918,66.3605062893082,67.995251572327,69.6764371069182,..
Population density (people per sq. km of land area),EN.POP.DNST,Croatia,HRV,85.4945448041495,79.1629404399929,79.3423874195854,79.2709077912795,79.2442458899214,79.1472122944961,78.945335954253,76.4943173695497,76.2608649035025,76.0489635453896,75.7040743388134,..
Population density (people per sq. km of land area),EN.POP.DNST,Cuba,CUB,98.5296275605214,103.508258845438,105.940045100066,106.013181134912,106.071392333709,106.139064261556,106.239505824878,106.384535888764,106.554603612998,106.741303347143,106.897302933799,..
Population density (people per sq. km of land area),EN.POP.DNST,Curacao,CUW,327.477477477477,301.486486486487,318.105855855856,324.45045045045,328.558558558559,330.704954954955,334.916666666667,339.709459459459,342.540540540541,346.443693693694,351.063063063063,..
Population density (people per sq. km of land area),EN.POP.DNST,Cyprus,CYP,82.9665584415584,102.087337662338,113.451623376623,115.047619047619,116.559523809524,118.017965367965,119.446428571429,120.848917748918,122.218939393939,123.555411255411,124.854761904762,..
Population density (people per sq. km of land area),EN.POP.DNST,Czech Republic,CZE,133.7304904879,132.717264138734,132.542459546926,133.318161812298,134.428517799353,135.196582524272,135.608622475401,135.889280165717,136.097177262722,136.142328110838,136.094341577107,..
Population density (people per sq. km of land area),EN.POP.DNST,Denmark,DNK,121.277164425572,125.84529813811,128.146877209522,128.716427056328,129.474923403252,130.169573415037,130.749069054914,131.288522271977,131.783455102522,132.334008955927,132.914565166156,..
Population density (people per sq. km of land area),EN.POP.DNST,Djibouti,DJI,25.3820534943917,31.1717860224331,34.0354184641933,34.4827006039689,34.9283433994823,35.3795081967213,35.8413287316652,36.3158757549612,36.8019413287317,37.2974115616911,37.7987057808456,..
Population density (people per sq. km of land area),EN.POP.DNST,Dominica,DMA,94.5706666666667,92.9053333333333,94.2533333333333,94.3933333333333,94.508,94.66,94.8893333333333,95.2026666666667,95.58,96.0066666666667,96.4546666666667,..
Population density (people per sq. km of land area),EN.POP.DNST,Dominican Republic,DOM,148.668170529801,177.206601821192,193.943149834437,196.695695364238,199.430691225166,202.146875,204.842363410596,207.515314569536,210.162168874172,212.777483443709,215.354780629139,..
Population density (people per sq. km of land area),EN.POP.DNST,Ecuador,ECU,36.9097131917353,50.8479465292318,56.2388870993719,57.1971291673377,58.1720083749396,59.1532855532292,60.1332420679659,61.1100016105653,62.0852512481881,63.0589144789821,64.0317120309228,..
Population density (people per sq. km of land area),EN.POP.DNST,"Egypt, Arab Rep.",EGY,56.6550534933949,68.6472499874429,76.6229192827364,77.9600452056859,79.3371058315335,80.8101290873474,82.4159867396655,84.1706102767592,86.0524406047516,88.0143744035361,89.9891204982671,..
Population density (people per sq. km of land area),EN.POP.DNST,El Salvador,SLV,253.478861003861,280.494015444015,288.009459459459,288.919594594595,289.777944015444,290.606563706564,291.424034749035,292.239768339768,293.061438223938,293.901737451737,294.773455598456,..
Population density (people per sq. km of land area),EN.POP.DNST,Equatorial Guinea,GNQ,13.4532263814617,18.9267736185383,23.0202495543672,23.7361140819964,24.4642780748663,25.2105169340463,25.9789661319073,26.7706951871658,27.5839215686274,28.4164705882353,29.2650623885918,..
Population density (people per sq. km of land area),EN.POP.DNST,Eritrea,ERI,31.0800297029703,35.0015445544554,42.6182178217822,43.6267227722772,44.5607722772277,45.4806831683168,46.4323168316832,47.4214653465347,48.4379504950495,49.4933069306931,50.5984554455446,..
Population density (people per sq. km of land area),EN.POP.DNST,Estonia,EST,37.0175513092711,32.9555319650861,31.7718801604152,31.6272705826846,31.5425807973579,31.4818353385232,31.4101203113942,31.3149091766926,31.2030195800896,31.0921679641425,30.9895022410946,..
Population density (people per sq. km of land area),EN.POP.DNST,Ethiopia,ETH,43.6485867393279,66.443603,78.735675,80.891968,83.079608,85.302099,87.561814,89.858696,92.191211,94.558374,96.958732,..
Population density (people per sq. km of land area),EN.POP.DNST,Faeroe Islands,FRO,34.4061604584527,33.3030085959885,34.7457020057307,34.8130372492837,34.8345272206304,34.8230659025788,34.7901146131805,34.7363896848138,34.6654727793696,34.5931232091691,34.5422636103152,..
Population density (people per sq. km of land area),EN.POP.DNST,Fiji,FJI,39.8810071154899,44.4019157088123,45.2868089764642,45.6885057471264,46.1524904214559,46.6258347016968,47.0690749863164,47.4727422003284,47.8466338259442,48.1930487137384,48.5194307608101,..
Population density (people per sq. km of land area),EN.POP.DNST,Finland,FIN,16.3709609639187,16.9940214714863,17.3169839860577,17.3919563287185,17.4840375123396,17.5678545574202,17.6484106614018,17.7309947678436,17.8155615518773,17.8978314521702,17.9788607719899,..
Population density (people per sq. km of land area),EN.POP.DNST,France,FRA,106.859826943236,111.242294079618,116.19154205232,116.9126609881,117.567650491182,118.174078680393,118.75934742867,119.335112143576,119.877009136882,120.399333767991,120.913311308229,..
Population density (people per sq. km of land area),EN.POP.DNST,French Polynesia,PYF,54.1994535519126,64.8270491803279,70.418306010929,71.1368852459016,71.8243169398907,72.5169398907104,73.2418032786885,74.0060109289617,74.801912568306,75.6191256830601,76.4428961748634,..
Population density (people per sq. km of land area),EN.POP.DNST,Gabon,GAB,3.69569216439632,4.77955524508092,5.46792408895098,5.59204408739861,5.71949004540692,5.85022703457911,5.98415026972484,6.12138782163232,6.26184266697714,6.40490161834905,6.54974579889005,..
Population density (people per sq. km of land area),EN.POP.DNST,"Gambia, The",GMB,90.5939723320158,121.429150197628,147.008992094862,151.820553359684,156.79337944664,161.946541501976,167.292687747036,172.835869565217,178.567984189723,184.474110671937,190.533695652174,..
Population density (people per sq. km of land area),EN.POP.DNST,Georgia,GEO,84.0127366247944,77.299765562126,76.9446096784352,76.7766541866405,76.6961755134889,77.1702998705343,77.9033556107631,78.4378389726722,78.5664298960775,78.5051961230274,78.8008677700409,..
Population density (people per sq. km of land area),EN.POP.DNST,Germany,DEU,227.517053819494,235.596813297034,236.225197866483,235.943361918146,235.522178240542,234.939637417171,234.606908225034,234.673149529493,230.750625466231,231.381204452861,232.080980662191,..
Population density (people per sq. km of land area),EN.POP.DNST,Ghana,GHA,64.2887404412411,82.7326799683572,96.4748659576338,99.0069482288828,101.590573086051,104.215364331546,106.872347719082,109.55657466819,112.264063461369,114.988274589083,117.722589434825,..
Population density (people per sq. km of land area),EN.POP.DNST,Greece,GRC,78.7967571761055,84.6973002327386,86.330077579519,86.602032583398,86.7838557020946,86.7888673390225,86.5279596586501,86.2933514352211,86.05718386346,85.5511947245927,85.0096198603569,..
Population density (people per sq. km of land area),EN.POP.DNST,Greenland,GRL,0.162715832601697,0.136922889511512,0.138321354610793,0.137787793884761,0.137234742355951,0.137222560604215,0.138640516506274,0.138603971251066,0.138409063223292,0.137612376659764,0.137154342794494,..
Population density (people per sq. km of land area),EN.POP.DNST,Grenada,GRD,283.194117647059,298.882352941176,303.702941176471,304.667647058824,305.688235294118,306.758823529412,307.873529411765,309.029411764706,310.223529411765,311.476470588235,312.791176470588,..
Population density (people per sq. km of land area),EN.POP.DNST,Guam,GUM,241.633333333333,287.644444444444,293.387037037037,293.207407407407,293.166666666667,293.742592592593,295.259259259259,297.885185185185,301.494444444444,305.77962962963,310.264814814815,..
Population density (people per sq. km of land area),EN.POP.DNST,Guatemala,GTM,85.4660974244121,109.076707726764,125.886907428145,128.757269503546,131.641349384099,134.546780515118,137.479106009705,140.437476670399,143.418803658081,146.423973497574,149.454031354983,..
Population density (people per sq. km of land area),EN.POP.DNST,Guinea,GIN,24.556739378154,35.8097224483152,40.2828463291551,41.3174385479407,42.4359270714635,43.6096776819144,44.816889142113,46.0538458407944,47.3252767377503,48.6274051766238,49.9573783167833,..
Population density (people per sq. km of land area),EN.POP.DNST,Guinea-Bissau,GNB,37.5607396870555,46.7800497866287,53.1508890469417,54.3151493598862,55.5225106685633,56.7863442389758,58.1150782361309,59.5131223328592,60.975106685633,62.4871266002845,64.0296230440967,..
Population density (people per sq. km of land area),EN.POP.DNST,Guyana,GUY,3.65903987807976,3.77047498094996,3.77802895605791,3.78784861569723,3.80033528067056,3.8138125476251,3.82708661417323,3.83989331978664,3.85273050546101,3.86605537211074,3.8805842011684,..
Population density (people per sq. km of land area),EN.POP.DNST,Haiti,HTI,257.610050798258,310.203265602322,341.417960812772,346.76915820029,352.145500725689,357.509179970972,362.830805515239,368.101959361393,373.324673439768,378.492343976778,383.600471698113,..
Population density (people per sq. km of land area),EN.POP.DNST,Honduras,HND,43.8230672982393,55.7965859326124,62.6242649030298,63.7566985432121,64.8804182679417,65.9853248726428,67.0647510948253,68.1152381803557,69.1405040664939,70.149781034945,71.1563142371973,..
Population density (people per sq. km of land area),EN.POP.DNST,"Hong Kong SAR, China",HKG,5762.12121212121,6347.61904761905,6530.57142857143,6586.95238095238,6626.47619047619,6640.7619047619,6689.71428571429,6734.85714285714,6813.90476190476,6845.2380952381,6896.85714285714,..
Population density (people per sq. km of land area),EN.POP.DNST,Hungary,HUN,115.433270279292,113.936297701406,112.391139381765,112.217163263029,112.020845887736,110.710814094775,110.460874848117,110.148315475533,109.580934496852,109.27959792334,108.932652159505,..
Population density (people per sq. km of land area),EN.POP.DNST,Iceland,ISL,2.54190523690773,2.80503740648379,3.03024438902743,3.10789027431421,3.16622443890274,3.17704738154613,3.17247880299252,3.18218453865337,3.19916209476309,3.22956608478803,3.26772069825436,..
Population density (people per sq. km of land area),EN.POP.DNST,India,IND,292.817403529542,354.326858357522,390.855715578217,396.774384079053,402.621463478621,408.376922430117,414.028200014126,419.564848193355,424.994581241024,430.345478761869,435.657170581093,..
Population density (people per sq. km of land area),EN.POP.DNST,Indonesia,IDN,100.154463255629,116.771876328268,126.555407740247,128.229563306966,129.92087802293,131.634529717317,133.372227404958,135.135961624447,136.918724090154,138.701941409937,140.460914013811,..
Population density (people per sq. km of land area),EN.POP.DNST,"Iran, Islamic Rep.",IRN,34.4903110128642,40.4347806330785,43.549884252863,44.0397034171502,44.5369764514445,45.052950170397,45.5947763347763,46.1664192072703,46.7636701360106,47.3749316876976,47.9835706610175,..
Population density (people per sq. km of land area),EN.POP.DNST,Iraq,IRQ,39.9626288954432,53.901161487985,63.3719345176853,64.987397398084,66.6788462857535,69.005880456806,71.0723798121201,73.2413681156751,75.4765495487198,77.7799433597348,80.1536332657948,..
Population density (people per sq. km of land area),EN.POP.DNST,Ireland,IRL,51.0084772826245,55.2355058789374,62.0349978226158,63.8545797648425,65.1697488750181,65.8350268544056,66.1947307301495,66.4362607054725,66.5829147916969,66.7483524459283,66.9577442299318,..
Population density (people per sq. km of land area),EN.POP.DNST,Isle of Man,IMY,123.354385964912,134.747368421053,142.298245614035,143.708771929825,145.152631578947,146.575438596491,147.942105263158,149.243859649123,150.489473684211,151.687719298246,152.854385964912,..
Population density (people per sq. km of land area),EN.POP.DNST,Israel,ISR,215.341959334566,290.619223659889,325.956561922366,331.797597042514,337.744916820702,345.914972273567,352.292051756007,358.863216266174,365.549907578558,372.435304990758,379.634935304991,..
Population density (people per sq. km of land area),EN.POP.DNST,Italy,ITA,192.850430111183,193.608201013226,197.674505337594,198.675154688244,199.995685727885,200.908971918134,201.527901679472,201.874784116407,202.419653906303,204.779859930645,208.527867682056,..
Population density (people per sq. km of land area),EN.POP.DNST,Jamaica,JAM,220.683287165282,239.094090489381,244.971560480148,245.843120960295,246.715974145891,247.588734995383,248.460203139428,249.292520775623,250.028162511542,250.667959372115,251.269806094183,..
Population density (people per sq. km of land area),EN.POP.DNST,Japan,JPN,338.828853538124,347.991769547325,350.765432098765,351.168724279835,351.338820301783,351.294924554184,351.30983404197,350.611778743948,349.905335198596,349.294000987492,348.726684222076,..
Population density (people per sq. km of land area),EN.POP.DNST,Jordan,JOR,35.9247506799637,54.3631006346328,62.7379873073436,64.1545784224841,65.5711695376247,66.62536607344,68.1009236314485,69.621536382068,71.164676728993,72.7641360666817,74.419914395134,..
Population density (people per sq. km of land area),EN.POP.DNST,Kazakhstan,KAZ,6.05548764677557,5.51306663703374,5.67029077304886,5.73552320628218,5.80583027743823,5.96092195429122,6.04570174463829,6.13275549135089,6.21973737822721,6.31006222913657,6.40408600955662,..
Population density (people per sq. km of land area),EN.POP.DNST,Kenya,KEN,41.1958902906139,54.5837930913308,63.7558685033559,65.4505745510771,67.1968970727765,68.9988192711811,70.8583353832097,72.7763889376955,74.7495835822469,76.7700056225182,78.8269722739572,..
Population density (people per sq. km of land area),EN.POP.DNST,Kiribati,KIR,89.3962962962963,104.204938271605,116.366666666667,118.901234567901,121.527160493827,124.155555555556,126.725925925926,129.212345679012,131.62962962963,134.004938271605,136.382716049383,..
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Dem. Rep.",PRK,167.713263018022,189.687052570385,199.068989286604,200.248691969106,201.343983057886,202.406826675525,203.475674777842,204.562403454863,205.658608089029,206.757785898181,207.846291836226,..
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Rep.",KOR,444.425492432096,487.332687124197,499.297543352601,501.420264135369,504.469731011028,506.509145211123,508.180253008331,511.976139051733,513.656302003082,515.253206246281,517.349178174953,..
Population density (people per sq. km of land area),EN.POP.DNST,Kosovo,KSV,171.029668411867,156.149536144025,157.943969872325,159.217782676587,160.501791127032,161.79608707633,163.100946082484,164.504179296409,165.812436851291,166.99889776798,167.461100394966,..
Population density (people per sq. km of land area),EN.POP.DNST,Kuwait,KWT,115.534904601571,108.275533108866,134.090796857464,142.457407407407,151.812008978676,161.685914702581,171.687598204265,181.772222222222,191.895679012346,201.666049382716,210.612850729517,..
Population density (people per sq. km of land area),EN.POP.DNST,Kyrgyz Republic,KGZ,22.8946819603754,25.5391032325339,27.2075078206465,27.4681960375391,27.7304483837331,28.0672575599583,28.4040667361835,28.7518248175182,29.2346193952033,29.8206465067779,30.4181438998957,..
Population density (people per sq. km of land area),EN.POP.DNST,Lao PDR,LAO,18.4048483535529,23.1493890814558,25.2982538994801,25.7349826689775,26.1934098786828,26.6601083188908,27.1254072790295,27.5862608318891,28.046143847487,28.5094670710572,28.9831022530329,..
Population density (people per sq. km of land area),EN.POP.DNST,Latvia,LVA,42.8186860891376,38.0659527943919,35.6671972474114,35.3772750659206,35.0074281304264,34.4430524284336,33.7010764781491,33.1142926045016,32.7166130588614,32.362871844348,32.0043576137643,..
Population density (people per sq. km of land area),EN.POP.DNST,Lebanon,LBN,264.224731182796,316.263929618768,396.582697947214,399.357380254154,401.699804496579,408.772434017595,423.964418377322,428.996774193548,434.088758553275,439.241251221896,444.454936461388,..
Population density (people per sq. km of land area),EN.POP.DNST,Lesotho,LSO,52.619696969697,61.1404808959157,63.911231884058,64.4155467720685,64.9602766798419,65.5603754940712,66.2248353096179,66.9614624505929,67.7645256916996,68.612022397892,69.4728919631093,..
Population density (people per sq. km of land area),EN.POP.DNST,Liberia,LBR,21.8321947674419,30.024584717608,35.1412375415282,36.569113372093,38.131042358804,39.6750207641196,41.0920888704319,42.3543812292359,43.5024397840532,44.5773671096346,45.6452865448505,..
Population density (people per sq. km of land area),EN.POP.DNST,Libya,LBY,2.49975504961524,3.03332916557737,3.35721211225661,3.42009502483604,3.47989929186037,3.52858133375769,3.56098582584084,3.57403184923332,3.57104868317856,3.56115064164498,3.5571706241404,..
Population density (people per sq. km of land area),EN.POP.DNST,Liechtenstein,LIE,179.65625,208.0125,219.63125,221.44375,223.25625,225.025,226.725,228.35625,229.94375,231.5,233.0375,..
Population density (people per sq. km of land area),EN.POP.DNST,Lithuania,LTU,58.9955009572431,55.8317804722399,52.1682992980217,51.5522335673261,51.0288153171121,50.4653530115676,49.418141204627,48.3153301209433,47.6716501260491,47.1908895093738,46.7383007578779,..
Population density (people per sq. km of land area),EN.POP.DNST,Luxembourg,LUX,..,168.455598455598,182.485328185328,185.325482625483,188.667953667954,192.194208494208,195.734749034749,200.133976833977,204.998455598456,209.791505791506,214.700386100386,..
Population density (people per sq. km of land area),EN.POP.DNST,"Macao SAR, China",MAC,17986.75,21595.35,16773.7062937063,16884.3150684932,17372.397260274,17674.7457627119,18000.8754208754,18283.6789297659,18654.2809364549,18747.7227722772,19073.0693069307,..
Population density (people per sq. km of land area),EN.POP.DNST,"Macedonia, FYR",MKD,78.4988989382619,79.121156114825,80.5084545812033,81.3090368608799,81.461196987713,81.6383822363204,81.7780729579699,81.9146708961142,82.0487708168121,82.1785487708168,82.300753370341,..
Population density (people per sq. km of land area),EN.POP.DNST,Madagascar,MDG,19.8538054132132,27.0743388245005,32.3728875055886,33.3098858204079,34.265567286859,35.243845651202,36.2477765931836,37.2620373155493,38.3188580169991,39.4028136816776,40.5151478171193,..
Population density (people per sq. km of land area),EN.POP.DNST,Malawi,MWI,99.7984514212983,118.72327110734,139.079157827747,143.173281714043,147.482721680102,151.984047518031,156.659142978362,161.506289775138,166.529868476877,171.723865082732,177.081597369538,..
Population density (people per sq. km of land area),EN.POP.DNST,Malaysia,MYS,55.4286927408309,71.2851955562319,79.9362288844925,81.3593273474357,82.7801521838381,84.1911946431289,85.5866686957845,86.9668847968346,88.3334043524578,89.6830680261756,91.0120133921777,..
Population density (people per sq. km of land area),EN.POP.DNST,Maldives,MDV,743.93,934.613333333333,1033.89333333333,1051.71666666667,1070.08666666667,1089.04333333333,1108.58333333333,1128.72666666667,1149.39,1170.37,1191.38333333333,..
Population density (people per sq. km of land area),EN.POP.DNST,Mali,MLI,6.95143789082028,9.05344741392734,10.9080897237316,11.2762979535974,11.6567116596596,12.0428498840345,12.4302657782804,12.8169506388349,13.204773846696,13.5979617928355,14.0027553085995,..
Population density (people per sq. km of land area),EN.POP.DNST,Malta,MLT,1106.78125,1191.759375,1266.5875,1271.0125,1279.309375,1288.990625,1295.3375,1300.8375,1310.796875,1323.04375,1335.6375,..
Population density (people per sq. km of land area),EN.POP.DNST,Marshall Islands,MHL,..,289.783333333333,289.333333333333,289.644444444444,290.116666666667,290.672222222222,291.266666666667,291.894444444444,292.572222222222,293.255555555556,293.877777777778,..
Population density (people per sq. km of land area),EN.POP.DNST,Mauritania,MRT,1.96338895895993,2.63065974580382,3.14520423013486,3.22915009217037,3.31284757931503,3.39762006403415,3.48442805860095,3.57351411661977,3.6645648588338,3.75733385078102,3.85138740661686,..
Population density (people per sq. km of land area),EN.POP.DNST,Mauritius,MUS,521.564039408867,584.666502463054,607.879802955665,610.655172413793,612.867487684729,614.497044334975,615.960591133005,616.947783251232,618.661083743842,620.026108374384,621.149753694581,..
Population density (people per sq. km of land area),EN.POP.DNST,Mexico,MEX,44.0388919468093,52.8864374083696,57.2971820262867,58.2007633941202,59.1439188250727,60.0918809640166,61.0188235294118,61.9178842048407,62.7953203528897,63.6539566346871,64.5005442526814,..
Population density (people per sq. km of land area),EN.POP.DNST,"Micronesia, Fed. Sts.",FSM,..,153.471428571429,150.971428571429,150.114285714286,149.245714285714,148.515714285714,148.027142857143,147.822857142857,147.88,148.168571428571,148.634285714286,..
Population density (people per sq. km of land area),EN.POP.DNST,Moldova,MDA,128.749085588881,126.739979802904,124.802763950291,124.513871967139,124.277091238208,124.120304939604,124.169310140482,124.097535469028,124.03801791128,123.918445520075,123.843019814047,..
Population density (people per sq. km of land area),EN.POP.DNST,Monaco,MCO,14719,16040.5,17192,17523,17865.5,18175.5,18422.5,18594.5,18702,18764,18811.5,..
Population density (people per sq. km of land area),EN.POP.DNST,Mongolia,MNG,1.40589677901079,1.54318983495971,1.64685239063828,1.6689255645099,1.69267102654548,1.71835783619558,1.74609091377224,1.77596874275857,1.80767978063287,1.84040140065398,1.87303419243544,..
